from,to,rel
roadscope_9,aimatics,HAS_VENDOR
roadscope_9,r9_body,CONTAINS
r9_body,gps,CONTAINS
r9_body,imu,CONTAINS
r9_body,camera,CONTAINS
r9_body,temperature_sensor,CONTAINS
roadscope_9,lte_modem,CONTAINS
roadscope_9,hub,CONTAINS
roadscope_9,display,CONTAINS
roadscope_9,ccr,CONTAINS
roadscope_9,mcu,CONTAINS
mcu,RTOS,RUNS
RTOS,ambalink,RUNS
ambalink,linux,RUNS
roadscope_9,linux,RUNS
r9_device,front_camera,CONTAINS
r9_device,internal_camera,CONTAINS
front_camera,video_quality_setting,HAS_FEATURE
internal_camera,video_quality_setting,HAS_FEATURE
video_quality_setting,bitrate_setting,HAS_SPEC
bitrate_setting,encoding_type,HAS_SPEC
encoding_type,meta_data,GENERATES
meta_data,file_system,STORES
file_system,video_upload,CONNECTS_TO
video_upload,dca_device_info,GENERATES
dca_device_info,dca_vehicle_info,GENERATES
dca_vehicle_info,dca_realtime_info,GENERATES
dca_realtime_info,dca_event_info,GENERATES
dca_event_info,dca_adas_info,GENERATES
dca_adas_info,stillcut,GENERATES
stillcut,ai_warning,GENERATES
ai_warning,ldw,GENERATES
ldw,pcw,GENERATES
pcw,vcw,GENERATES
vcw,vbw,GENERATES
vbw,sda,GENERATES
sda,fcda,GENERATES
fcda,aa,GENERATES
aa,osw,GENERATES
osw,dsm_calibration,GENERATES
dsm_calibration,daw,GENERATES
daw,ddw,GENERATES
ddw,smart_event,GENERATES
smart_event,front_smart_event,GENERATES
front_smart_event,cabin_smart_event,GENERATES
cabin_smart_event,illegal_turn,GENERATES
illegal_turn,signal_violation,GENERATES
signal_violation,central_line_invasion,GENERATES
central_line_invasion,safety_distance_not_secured,GENERATES
safety_distance_not_secured,frequent_lane_change,GENERATES
frequent_lane_change,dsm_calibration_cabin,GENERATES
dsm_calibration_cabin,seatbelt_not_worn,GENERATES
seatbelt_not_worn,head_turn,GENERATES
head_turn,drowsy_driving,GENERATES
drowsy_driving,phone_use,GENERATES
phone_use,smoking,GENERATES
r9_device,safety_event,HAS_FEATURE
safety_event,front_event,CONTAINS
r9_device,adas_function,HAS_FEATURE
adas_function,setting_values,CONTAINS
setting_values,install_setting,CONTAINS
setting_values,adas_setting,CONTAINS
setting_values,view_only_setting,CONTAINS
r9_device,time_setting,HAS_FEATURE
time_setting,gps_time_setting,CONTAINS
time_setting,network_time_setting,CONTAINS
r9_device,camera_setting,HAS_FEATURE
r9_device,driver_monitoring,HAS_FEATURE
r9_device,safety_features,HAS_FEATURE
safety_features,harsh_event,CONTAINS
r9_device,auto_calibration,HAS_FEATURE
